0 1 2
1 0 2
1 57 2
1 47 1
1 217 1
1 218 1
1 234 1
1 236 1
1 17 1
2 3 1
2 4 1
3 2 1
3 24 2
3 38 1
3 59 1
4 2 1
4 24 1
4 61 1
4 285 2
5 6 2
6 5 2
6 15 2
6 42 2
6 47 1
6 6 2
6 185 1
6 128 1
6 17 1
6 148 1
6 149 1
7 8 2
7 9 1
8 7 2
8 112 1
8 17 1
8 245 2
9 7 1
9 77 1
9 47 1
10 11 1
10 12 1
11 10 1
11 74 1
11 77 1
12 10 1
12 77 2
12 164 1
12 117 1
12 120 1
13 14 1
14 13 1
14 77 3
14 116 4
15 6 2
15 16 1
15 17 1
15 18 1
16 15 1
17 15 1
17 37 1
17 57 1
17 87 1
17 99 1
17 77 1
17 47 1
17 1 1
17 242 1
17 244 2
17 6 1
17 8 1
17 110 1
18 15 1
18 70 1
18 77 1
18 47 1
18 183 1
19 20 1
20 19 1
21 22 2
21 23 1
22 21 2
22 24 4
22 94 3
22 47 2
22 22 2
22 241 1
22 184 2
23 21 1
23 47 1
23 176 1
23 275 1
23 56 1
23 276 1
23 202 1
23 209 1
23 158 1
24 3 2
24 22 4
24 25 2
24 26 2
24 27 2
24 28 2
24 29 2
24 30 2
24 31 2
24 32 2
24 33 2
24 34 2
24 35 1
24 4 1
25 24 2
25 77 1
25 120 1
25 137 1
25 145 1
26 24 2
26 61 3
26 72 3
26 77 1
26 117 1
26 118 1
26 120 1
26 48 1
27 24 2
27 65 1
27 66 1
27 71 1
27 82 1
27 77 2
27 27 2
27 120 2
28 24 2
28 40 1
28 47 1
28 41 2
29 24 2
29 112 2
30 24 2
30 49 2
30 63 2
30 64 1
30 77 2
30 114 2
30 118 1
30 120 1
30 132 1
31 24 2
31 122 2
31 246 1
32 24 2
32 68 2
32 60 1
33 24 2
33 33 2
33 115 3
33 120 1
33 247 1
34 24 2
34 36 2
34 69 1
34 47 1
35 24 1
35 57 1
35 69 1
35 47 2
36 34 2
37 17 1
38 3 1
38 39 1
39 38 1
39 65 1
39 47 1
39 223 1
39 164 1
40 28 1
40 41 1
41 40 1
41 28 2
41 81 1
41 190 2
41 194 1
41 96 2
41 205 3
41 258 1
42 6 2
43 43 2
43 44 1
43 45 1
44 43 1
44 113 2
44 120 1
45 43 1
45 240 1
46 47 1
46 48 1
47 46 1
47 88 1
47 92 2
47 95 1
47 178 1
47 179 1
47 164 1
47 177 1
47 165 1
47 169 1
47 78 1
47 22 2
47 180 1
47 1 1
47 6 1
47 181 1
47 28 1
47 182 1
47 34 1
47 183 1
47 184 1
47 185 1
47 186 1
47 187 2
47 175 1
47 188 1
47 126 1
47 127 2
47 189 1
47 128 1
47 190 1
47 176 1
47 90 1
47 191 1
47 35 2
47 192 1
47 193 1
47 17 1
47 91 1
47 141 1
47 18 1
47 142 1
47 194 1
47 93 1
47 39 1
47 195 1
47 196 1
47 197 1
47 198 1
47 199 2
47 200 1
47 201 1
47 202 1
47 153 1
47 9 1
47 203 1
47 204 1
47 205 1
47 206 1
47 207 1
47 208 1
47 60 1
47 209 1
47 23 1
47 210 1
47 211 1
47 156 1
47 212 2
47 73 1
47 157 2
47 213 1
47 214 1
47 215 1
47 216 1
48 46 1
48 77 2
48 26 1
48 117 1
49 30 2
49 50 1
50 49 1
50 114 2
51 52 1
51 53 1
51 54 1
51 55 1
51 56 1
52 51 1
53 51 1
54 51 1
55 51 1
55 77 1
55 149 1
56 51 1
56 23 1
57 1 2
57 35 1
57 17 1
57 58 1
58 57 1
58 65 1
58 249 1
59 3 1
59 60 1
60 59 1
60 68 1
60 71 1
60 47 1
60 164 1
60 181 1
60 32 1
60 197 1
60 147 1
61 62 1
61 26 3
61 4 1
62 61 1
62 145 1
63 30 2
64 30 1
65 27 1
65 39 1
65 58 1
66 27 1
66 67 1
67 66 1
67 267 1
68 32 2
68 60 1
69 34 1
69 35 1
70 18 1
71 27 1
71 60 1
72 26 3
72 73 1
73 72 1
73 47 1
73 228 1
74 11 1
75 75 4
76 77 1
76 78 2
77 76 1
77 87 1
77 107 1
77 25 1
77 26 1
77 27 2
77 108 1
77 109 1
77 30 2
77 55 1
77 110 1
77 111 1
77 112 1
77 113 1
77 114 1
77 115 1
77 116 1
77 117 1
77 118 1
77 119 1
77 120 1
77 121 1
77 122 1
77 123 1
77 124 1
77 125 1
77 126 1
77 127 1
77 83 1
77 11 1
77 128 1
77 129 1
77 130 1
77 131 1
77 132 2
77 133 1
77 134 1
77 14 3
77 135 1
77 136 1
77 86 1
77 90 1
77 137 1
77 138 1
77 139 1
77 17 1
77 140 1
77 91 1
77 141 1
77 18 1
77 142 1
77 143 1
77 144 1
77 145 1
77 146 1
77 147 2
77 148 1
77 149 1
77 150 1
77 12 2
77 151 1
77 152 1
77 153 1
77 9 1
77 154 1
77 96 1
77 155 1
77 48 2
77 156 1
77 157 1
77 158 1
77 159 2
78 76 2
78 47 1
78 165 1
79 80 1
79 81 1
80 79 1
81 79 1
